,g_id_right,popTot,id,avg,lamb
536,587.0,1456,10771,0.21069884470905098,4.746110503742326
537,588.0,1959,248,6.086126629422718,0.16430811596420106
538,589.0,71,7,43.375,0.023054755043227664
540,591.0,5,9,125.87499999999999,0.00794438927507448
545,597.0,52,16,85.24242424242422,0.011731247778172773
546,598.0,98,9,136.5297619047619,0.0073244103413698395
550,603.0,107,8,325.27777777777777,0.0030742954739538856
551,604.0,599,72,20.17238562091503,0.04957271880442267
552,605.0,14,6,135.26041666666666,0.0073931459376203315
554,607.0,49,16,101.7202380952381,0.009830885364854583
556,609.0,56,23,61.24264705882353,0.016328490815223917
558,611.0,358,71,22.469858156028366,0.04450406375759489
559,612.0,1577,181,8.252564102564103,0.12117446015224484
560,613.0,415,37,38.14506172839506,0.026215713245408202
561,615.0,75,8,306.52777777777777,0.0032623470774807433
564,618.0,11,7,116.49999999999999,0.008583690987124465
567,621.0,43,376,4.281824146981628,0.2335453221975327
568,622.0,1123,3382,0.5104623760767106,1.9590082381501968
569,623.0,16850,3786,0.42909447194719474,2.330489123903377
570,624.0,13587,2219,0.6943715846994535,1.4401510978200993
571,625.0,4275,2982,0.6996021220159151,1.4293838862559243
572,626.0,2484,628,2.388980868285504,0.41858853424710274
573,627.0,2196,358,4.124841571609633,0.2424335535412505
574,628.0,1800,269,5.541015625,0.18047232992597814
575,629.0,4,8,123.04166666666667,0.008127328140873687
577,631.0,134,27,50.34166666666667,0.01986426088395961
583,638.0,127,6,170.275,0.005872852738217589
584,639.0,1137,260,5.333952145214521,0.18747824741869368
585,640.0,1145,268,5.347701149425288,0.18699623858140782
586,641.0,297,37,38.34057971014492,0.026082026082026085
587,642.0,24,6,255.58333333333331,0.003912618193674601
588,643.0,17,10,277.625,0.0036019810895992796
589,644.0,130,11,170.00833333333335,0.005882064604676241
590,645.0,32,9,119.609375,0.00836054866100588
591,646.0,105,31,40.939236111111114,0.024426445019295192
592,647.0,2,24,48.49583333333333,0.020620328206890626
593,648.0,30,63,24.861111111111107,0.040223463687150844
594,649.0,917,224,6.5104790419161676,0.15359852839733273
595,650.0,336,106,12.935763888888888,0.07730505972352705
597,652.0,2,7,225.79166666666669,0.0044288614135449345
598,653.0,25,17,104.59166666666667,0.00956099115608318
599,654.0,21,28,53.35677083333333,0.01874176387329787
601,656.0,17,17,117.08854166666666,0.008540545349406166
602,657.0,1,6,327.6875,0.0030516879649055886
603,658.0,177,17,69.9315476190476,0.014299697833766015
604,659.0,362,45,37.14798850574713,0.026919357957841807
605,660.0,398,47,28.482638888888896,0.03510910642447884
606,661.0,35,98,19.168238993710695,0.05216963333606758
607,662.0,1227,862,1.7185509554140128,0.5818855686819551
608,663.0,6456,37283,0.06708962793899213,14.905433682078975
609,664.0,15881,3134,0.5075867635189669,1.9701065352202258
610,665.0,10914,7084,0.2379354426334292,4.202820685023506
611,666.0,4978,872,1.7309333333333332,0.5777230010784163
612,667.0,3584,1349,1.2172417043740573,0.8215295256534366
613,668.0,3214,791,1.8407155025553663,0.5432670060157334
614,669.0,1422,256,5.3169934640522865,0.18807621389059623
616,671.0,3,6,141.05555555555557,0.007089405277668373
618,675.0,61,18,89.10606060606061,0.011222581193674544
622,682.0,321,25,49.372807017543856,0.02025406413786977
623,683.0,1602,264,5.525169204737733,0.1809899322436167
624,684.0,1560,654,2.3593863471314456,0.42383902119964595
625,685.0,798,120,10.785416666666668,0.0927177902259996
626,686.0,83,6,244.5625,0.004088934321492461
627,687.0,21,11,100.61574074074075,0.009938802742373349
628,688.0,126,20,65.94940476190477,0.0151631391308272
629,689.0,8,6,151.52083333333334,0.006599752509280902
630,690.0,958,271,5.393864013266999,0.1853958493466564
631,691.0,97,27,50.408730158730165,0.019837833582618276
632,692.0,4,14,69.43981481481482,0.014400960064004265
634,694.0,75,12,91.07916666666668,0.010979459261631363
635,695.0,414,33,46.98913043478261,0.021281517464723572
637,697.0,1807,249,5.482142857142857,0.18241042345276876
638,698.0,1765,328,4.684806034482759,0.21345600920069005
639,699.0,2475,553,2.762468030690537,0.3619951394514524
640,700.0,2268,467,3.2590361445783134,0.3068391866913124
641,701.0,1015,195,7.453196347031962,0.13417062337264515
642,702.0,613,135,10.948883161512025,0.09133351641884736
643,703.0,88,35,39.82532051282051,0.025109653535069013
644,704.0,1089,171,8.163220551378448,0.12250067160455921
645,705.0,1591,244,6.364522417153996,0.15712098009188363
646,706.0,1663,301,4.953030303030303,0.20189660446619762
647,707.0,1006,211,7.326013513513513,0.13649988471293523
648,708.0,7742,1542,1.0302083333333334,0.9706774519716885
649,709.0,19763,5115,0.3225938224752266,3.0998733711858177
650,710.0,19938,3722,0.4349143334726285,2.299303386980543
651,711.0,14970,2818,0.5557898436127219,1.7992412266835283
652,712.0,15563,4272,0.37919884761554495,2.6371388159224085
653,713.0,3935,913,1.6080476900149032,0.6218721037998146
654,714.0,3336,433,3.5693521594684388,0.2801628853984875
655,715.0,1003,141,11.390350877192981,0.08779360800924144
656,716.0,8,7,295.40277777777777,0.0033852085194414406
658,718.0,20,6,165.55208333333334,0.006040395142515573
659,719.0,12,7,147.39583333333331,0.006784452296819789
663,723.0,25,11,91.36458333333334,0.01094516018697982
668,728.0,73,9,128.78571428571428,0.007764836383804771
669,729.0,364,49,27.86547619047619,0.03588670055966164
670,730.0,158,21,61.675,0.016214025131738957
671,731.0,843,127,11.724637681159422,0.08529048207663781
672,732.0,255,46,29.671428571428564,0.03370245546461243
673,733.0,76,16,73.59821428571429,0.013587286182215212
674,734.0,12,15,67.22916666666666,0.014874496436318564
675,735.0,963,57,22.50609756097561,0.044432403142779735
676,736.0,2697,469,3.0468455743879472,0.3282082979216565
677,737.0,1553,270,5.45625,0.18327605956471937
679,740.0,102,24,65.87239583333334,0.015180865783751727
680,741.0,1518,213,6.8550955414012735,0.145876887340302
